v1,v2,weight
1145,4258,2
1145,37091,2
1145,603,8
1145,52508,2
1145,93,1
603,93,3
52508,966,2
52508,603,1
52508,93,1
93,966,9
39777,9795,1
39777,966,2
39777,52508,1
2050,39777,1
2050,37091,3
2050,9795,3
2050,966,11
2050,52508,1
37091,39777,1
37091,9795,3
966,9795,4
1145,39777,1
1145,9795,1
52508,9795,1
4119,4419,2
761,966,4
761,7663,1
601,7663,2
601,761,1
11002,7663,1
11002,761,1
11002,601,1
11002,219,1
219,966,3
219,7663,1
219,761,1
219,601,3
1462,4419,2
1462,438,3
1462,3527,1
3527,4419,1
3527,438,1
3177,966,2
3177,4423,2
128,41154,1
128,966,1
128,20328,1
128,1899,1
128,47924,1
128,345,1
41154,966,2
41154,47924,1
20328,41154,1
20328,966,2
20328,47924,1
20328,345,1
1899,41154,1
1899,966,3
1899,20328,1
1899,47924,1
1899,345,1
47924,966,1
345,41154,3
345,47924,1
1474,643,1
1474,966,2
1474,4423,1
1474,41289,1
1474,179,1
1474,1525,1
1474,1758,1
4423,643,3
41289,643,1
41289,966,1
41289,4423,1
179,643,2
179,4423,5
179,41289,1
1525,643,1
1525,966,1
1525,4423,1
1525,41289,1
1525,179,1
1525,1758,1
1758,643,1
1758,966,1
1758,4423,1
1758,41289,1
1758,179,1
32897,966,5
32897,4427,2
32897,345,2
32897,38430,1
14340,32897,1
14340,4427,4
14340,345,1
14340,38430,1
345,38430,1
38430,966,1
38430,4427,1
345,603,3
3855,4419,6
1138,643,6
1034,1138,1
1034,643,1
1034,966,1
345,57538,1
57538,966,1
3479,57538,1
35122,438,4
35122,966,15
3463,35122,1
3463,438,1
3463,966,1
1128,46031,1
3493,46031,13
46031,966,29
940,966,5
3805,966,2
3493,3805,2
2,46031,3
2,7663,6
46031,7663,8
597,966,1
33283,805,3
33283,966,3
33283,3493,3
3493,805,25
1232,46031,9
4427,46031,4
1706,438,1
3541,4485,1
3541,46031,3
4485,46031,1
3493,758,1
46031,758,1
1138,3493,24
1138,46031,3
1138,758,2
758,966,2
43371,966,4
10109,43371,1
10109,966,3
738,7663,5
738,793,1
1831,738,1
1831,7663,1
1831,46031,1
1831,793,1
7663,793,1
46031,738,2
46031,793,1
11,872,2
11,7663,6
11,440,1
1159,966,2
1159,46031,1
1159,7663,1
11,1159,1
11,46031,3
11,1150,1
1150,966,3
1150,1159,1
1150,46031,1
1150,7663,1
4203,4419,1
1124,4419,8
1124,3493,5
1124,4423,7
1124,7663,3
3493,7663,22
4423,7663,8
912,966,1
1124,601,1
1124,219,1
3493,601,2
4423,528,5
528,601,1
219,3493,2
219,4423,1
219,528,1
1765,966,8
1765,46031,1
1232,1765,6
1145,1765,2
1145,46031,3
1145,1232,18
4419,46031,5
28048,4419,1
28048,966,1
28048,46031,1
28048,7663,1
2195,4419,5
2195,966,10
2195,46031,1
2195,28048,1
2195,7663,3
2195,27830,1
27830,4419,3
27830,966,4
27830,46031,1
27830,28048,1
27830,7663,1
1120,2,1
1120,39,2
1120,45,1
1120,77,1
1120,46031,1
1120,53,1
1120,988,1
2,39,10
2,77,2
2,53,3
2,988,3
39,45,6
39,77,2
39,46031,4
39,53,4
39,988,3
11,1120,1
11,39,15
11,77,2
11,53,3
11,1112,1
11,988,2
45,77,2
45,46031,3
45,53,3
45,988,3
77,966,4
77,988,1
46031,77,2
46031,53,3
46031,988,2
1073,1120,1
1073,2,1
1073,39,2
1073,11,1
1073,45,1
1073,77,1
1073,46031,1
1073,53,1
1073,1077,1
1073,1112,1
1073,988,1
53,966,5
53,77,2
53,988,1
1077,1120,1
1077,2,1
1077,966,1
1077,39,1
1077,11,1
1077,45,1
1077,77,1
1077,46031,1
1077,53,1
1077,1112,1
1077,988,1
1112,1120,1
1112,2,1
1112,966,3
1112,39,1
1112,45,1
1112,77,1
1112,46031,1
1112,53,1
1112,988,1
64,966,1
3805,46031,1
3775,966,2
3775,46031,1
3493,3775,1
4419,872,3
4039,4419,1
4039,966,1
4039,872,1
4039,46031,1
4039,438,1
46031,872,1
438,46031,4
32608,3493,3
32608,966,7
32608,854,5
3493,854,12
1078,32608,2
1078,3493,5
1078,854,3
1202,339,1
1202,626,1
339,626,1
3493,4143,2
4423,805,7
4143,805,3
4143,4423,4
4143,966,14
1232,4291,6
4291,966,12
3493,4291,5
3493,665,8
4423,665,5
1232,805,14
1232,4423,7
1232,665,3
1232,345,17
665,805,3
665,966,18
1138,1232,25
1138,665,3
1138,117,2
117,805,2
117,3493,4
117,966,8
117,4423,5
117,1232,2
117,665,2
117,345,2
345,3493,12
345,665,3
2,68,4
2,35493,1
2,30865,1
68,966,13
68,988,1
35493,68,1
35493,39,1
35493,45,1
35493,988,2
39,68,3
11,68,1
11,35493,1
11,173,1
11,30865,1
45,68,1
173,2,1
173,68,1
173,35493,1
173,966,1
173,39,1
173,45,1
173,30865,1
173,988,1
30865,68,1
30865,35493,1
30865,966,1
30865,39,1
30865,45,1
30865,988,1
2,4427,1
4427,528,6
46031,528,1
3493,39,8
39,4427,4
117,39,2
117,4427,1
7840,966,15
4427,7840,3
1232,7840,6
438,7840,4
3726,966,3
3726,7663,2
1202,3726,2
1202,7663,2
1010,966,5
1010,3726,2
1010,7663,2
1010,1202,2
1010,1112,2
1112,3726,2
1112,7663,2
1112,1202,2
3493,44,2
39,44,21
44,45,7
44,46031,2
1232,39,18
1232,44,13
1232,45,1
1092,7840,1
1092,966,2
1092,1232,2
1092,1138,2
1092,438,1
1138,7840,1
1138,438,23
2024,603,1
2024,966,1
1878,2024,1
1878,603,1
1878,966,1
3493,643,11
514,966,3
514,603,1
4419,514,2
1254,514,1
1254,4419,4
1254,603,1
438,514,1
3904,966,6
3904,4427,4
3493,3904,5
1232,3904,4
345,3904,1
4419,634,4
2836,4419,4
2836,966,14
2836,634,5
634,966,7
10845,2836,1
10845,634,1
1254,643,2
39,438,22
1138,39,6
345,39,5
1145,3904,1
1145,3493,31
1145,4427,16
10569,966,8
38576,4301,1
38576,966,1
4301,966,1
1177,3904,1
1177,3493,1
1177,966,1
1177,1232,2
1177,1178,1
1178,3904,1
1178,3493,1
1178,966,5
1178,1232,1
3493,872,2
1232,3819,4
13,966,3
13,4427,1
13,2836,1
1138,13,2
1138,2836,1
2836,4427,4
1413,7663,8
1232,1413,5
1232,7663,23
1138,1413,3
1138,7663,6
